PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
52088.0,52088.0,0,1.0,2,Self-Storage Facility,Self-Storage Facility,52088.0,1,SOUTHWEST,47.54508,-122.37737,1969,1377519.5
123920.0,93920.0,30000,1.0,5,Hotel,Hotel,123920.0,3,LAKE UNION,47.62972,-122.32906,1998,9373179.0
50000.0,50000.0,0,1.0,1,Other,Museum,43000.0,3,LAKE UNION,47.62759,-122.33661,1900,7548807.0
50292.0,50292.0,0,1.0,2,Warehouse,Non-Refrigerated Warehouse,42345.0,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1926,430473.6875
207656.0,153315.0,54341,1.0,7,Hotel,Hotel,141591.0,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1998,11171988.0
91130.0,91130.0,0,1.0,2,Small- and Mid-Sized Office,Office,57968.0,5,NORTHWEST,47.70044,-122.34136,1957,9472358.0
64893.0,64893.0,0,1.0,4,Hotel,Hotel,64893.0,5,NORTHWEST,47.70916,-122.33216,1968,6197825.0
44558.0,44558.0,0,1.0,3,Small- and Mid-Sized Office,Office,34416.0,7,DOWNTOWN,47.60105,-122.33518,1900,1677002.25
224864.625,196071.25,327680,1.0,6,Other,Other - Entertainment/Public Assembly,192159.375,2,GREATER DUWAMISH,47.59544,-122.33159,1999,16336999.203125
179161.0,179161.0,0,1.0,2,Distribution Center,Distribution Center,117476.0,2,GREATER DUWAMISH,47.57199,-122.32811,1924,9436408.0
58640.0,58640.0,0,1.0,2,Warehouse,Non-Refrigerated Warehouse,40831.0,2,GREATER DUWAMISH,47.57199,-122.32811,1965,3928695.25
224864.625,196071.25,0,1.0,3,Other,Other - Entertainment/Public Assembly,192159.375,2,GREATER DUWAMISH,47.59085,-122.33354,1999,16336999.203125
168449.0,153882.0,14567,1.0,9,Hotel,Hotel,135006.0,2,GREATER DUWAMISH,47.59269,-122.33372,2005,12726789.0
79600.0,79600.0,0,0.0,4,Warehouse,Non-Refrigerated Warehouse,79600.0,1,GREATER DUWAMISH,47.57507,-122.35747,1916,2411402.25
224864.625,196071.25,31874,14.0,2,Large Office,Office,192159.375,1,GREATER DUWAMISH,47.52429,-122.31234,1980,16336999.203125
224864.625,84739.0,335109,1.0,6,Other,Parking,192159.375,5,NORTH,47.70281,-122.32532,2008,9134963.0
110785.0,110785.0,0,1.0,4,Mixed Use Property,Multifamily Housing,58563.0,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,2002,10557910.0
224864.625,196071.25,0,1.0,0,Hotel,Hotel,192159.375,7,DOWNTOWN,47.61275,-122.3333,1999,16336999.203125
224864.625,196071.25,0,6.0,5,Hospital,Hospital (General Medical & Surgical),192159.375,3,CENTRAL,47.60705,-122.30966,1990,16336999.203125
75397.0,67236.0,8161,1.0,3,Warehouse,Non-Refrigerated Warehouse,67236.0,4,LAKE UNION,47.65097,-122.34227,1991,549181.375
224864.625,196071.25,0,9.0,8,Hospital,Hospital (General Medical & Surgical),192159.375,3,EAST,47.60399,-122.32377,2000,16336999.203125
102796.0,90185.0,12611,1.0,5,Senior Care Community,Senior Care Community,55259.0,2,DOWNTOWN,47.59626,-122.3218,1999,10105379.0
55653.0,55653.0,0,1.0,2,K-12 School,K-12 School,55500.0,4,NORTHEAST,47.66568,-122.31368,1928,1377627.0
106860.0,106860.0,0,1.0,16,Hotel,Hotel,106860.0,4,NORTHEAST,47.66151,-122.31457,1931,11935719.0
50759.0,50759.0,0,1.0,5,Small- and Mid-Sized Office,Office,47079.0,5,NORTH,47.71895,-122.29475,1972,3147042.0
56772.0,56772.0,0,1.0,2,Worship Facility,Worship Facility,56772.0,4,NORTHEAST,47.66182,-122.31113,1952,2439484.75
103000.0,103000.0,0,1.0,3,Worship Facility,Worship Facility,103000.0,4,NORTHEAST,47.6626,-122.31164,1952,4854429.5
128766.0,128766.0,0,1.0,7,Other,Other - Entertainment/Public Assembly,109754.0,7,DOWNTOWN,47.61103,-122.33238,1914,6057410.0
107572.0,107572.0,0,1.0,9,Residence Hall,Residence Hall/Dormitory,63934.0,7,DOWNTOWN,47.6079,-122.33266,1913,5572503.0
